COMPANY NAME,SECURITY TYPE,Symbol_x,ISSUE START DATE,ISSUE END DATE,Issue_price_Upper_Limit,Issue_price_Lower_Limit,ISSUE_Price_RANGE,Listing Date,Issue Amount (Rs.cr.),Market Cap (IPO) (Rs.cr.),Market Cap on Close Price on Listing (Rs.cr.),% Gain / loss on Listing,Wealth creation w.r.t. Close Price on Listing (%),Opening Date,Issue Price (Rs.),QIB,NII,RII,TOTAL,Open Price on Listing (Rs.),Close Price on Listing (Rs.),% Gain / Loss (Issue price v/s Close price on Listing),ISSUE_START_Nifty_OPEN,ISSUE_START_Nifty_CLOSE,ISSUE_START_Nifty_HIGH,ISSUE_START_Nifty_LOW,ISSUE_END_Nifty_OPEN,ISSUE_END_Nifty_CLOSE,ISSUE_END_Nifty_HIGH,ISSUE_END_Nifty_LOW
WEWORK INDIA MANAGEMENT,EQ,WEWORK,2025-10-03,2025-10-07,648,615,33,2025-10-10,3000.0,8684.71,8425.37,-2.99,-5.54,2025-10-03,648.0,1.33,0.23,0.57,1.09,650.0,628.65,-2.99,24759.55,24894.25,24904.8,24747.55,25085.3,25108.3,25220.9,25076.3
GLOTTIS,EQ,GLOTTIS,2025-09-29,2025-10-01,129,120,9,2025-10-07,307.0,1192.0,773.41,-35.12,-27.97,2025-09-29,129.0,1.54,3.06,1.43,1.95,84.0,83.7,-35.12,24728.55,24634.9,24791.3,24606.2,24620.55,24836.3,24867.95,24605.95
PACE DIGITEK,EQ,PACEDIGITK,2025-09-26,2025-09-30,219,208,11,2025-10-06,819.15,4727.14,4705.34,-0.46,-8.25,2025-09-26,219.0,1.29,2.94,1.05,1.45,225.0,217.99,-0.46,24818.55,24654.7,24868.6,24629.45,24691.95,24611.1,24731.8,24587.7
TRUALT BIOENERGY,EQ,TRUALT,2025-09-25,2025-09-29,496,472,24,2025-10-03,839.28,4253.33,4553.03,7.05,-23.32,2025-09-25,496.0,66.53,102.95,11.37,52.69,545.4,530.95,7.05,25034.5,24890.85,25092.7,24878.3,24728.55,24634.9,24791.3,24606.2
JAIN RESOURCE RECYCLING,EQ,JAINREC,2025-09-24,2025-09-26,232,220,12,2025-10-01,1250.0,8005.99,10510.62,31.28,25.68,2025-09-24,232.0,11.3,5.58,3.72,9.69,319.94,304.58,31.28,25108.75,25056.9,25149.85,25027.45,24818.55,24654.7,24868.6,24629.45
EPACK PREFAB TECHNOLOGIES,EQ,EPACKPEB,2025-09-24,2025-09-26,204,194,10,2025-10-01,504.0,2049.22,1951.28,-4.78,52.43,2025-09-24,204.0,2.75,3.74,1.7,2.53,189.99,194.25,-4.78,25108.75,25056.9,25149.85,25027.45,24818.55,24654.7,24868.6,24629.45
SESHAASAI TECHNOLOGIES,EQ,STYL,2025-09-23,2025-09-25,423,402,21,2025-09-30,813.28,6844.39,6657.5,-2.73,-28.16,2025-09-23,423.0,76.26,51.27,9.24,48.93,432.0,411.45,-2.73,25209.0,25169.5,25261.9,25084.65,25034.5,24890.85,25092.7,24878.3
JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH,EQ,JARO,2025-09-23,2025-09-25,890,846,44,2025-09-30,450.0,1971.91,1648.98,-16.38,-25.11,2025-09-23,890.0,15.59,37.21,9.01,16.53,890.0,744.25,-16.38,25209.0,25169.5,25261.9,25084.65,25034.5,24890.85,25092.7,24878.3
ANAND RATHI SHARE AND STOCK BROKERS,EQ,ARSSBL,2025-09-23,2025-09-25,414,393,21,2025-09-30,745.64,2596.83,2794.72,7.62,34.75,2025-09-23,414.0,19.04,30.04,4.95,15.55,432.0,445.55,7.62,25209.0,25169.5,25261.9,25084.65,25034.5,24890.85,25092.7,24878.3
SOLARWORLD ENERGY SOLUTIONS,EQ,SOLARWORLD,2025-09-23,2025-09-25,351,333,18,2025-09-30,490.0,3042.21,2803.86,-7.83,-11.17,2025-09-23,351.0,30.27,68.02,50.69,37.97,388.5,323.5,-7.83,25209.0,25169.5,25261.9,25084.65,25034.5,24890.85,25092.7,24878.3
ATLANTA ELECTRICALS,EQ,ATLANTAELE,2025-09-22,2025-09-24,754,718,36,2025-09-29,687.85,5798.01,6331.28,9.2,12.35,2025-09-22,754.0,77.97,55.6,10.54,50.62,857.0,823.35,9.2,25238.1,25202.35,25331.7,25151.05,25108.75,25056.9,25149.85,25027.45
GANESH CONSUMER PRODUCTS,EQ,GANESHCP,2025-09-22,2025-09-24,322,306,16,2025-09-29,408.8,1301.3,1189.35,-8.6,-18.76,2025-09-22,322.0,2.39,4.31,1.13,2.23,296.05,294.3,-8.6,25238.1,25202.35,25331.7,25151.05,25108.75,25056.9,25149.85,25027.45
SAATVIK GREEN ENERGY,EQ,SAATVIK,2025-09-19,2025-09-23,465,442,23,2025-09-26,900.2,5910.38,5601.52,-5.23,-14.78,2025-09-19,465.0,5.14,10.53,2.72,5.09,465.0,440.7,-5.23,25410.2,25327.05,25431.4,25286.3,25209.0,25169.5,25261.9,25084.65
GK ENERGY,EQ,GKENERGY,2025-09-19,2025-09-23,153,145,8,2025-09-26,464.26,3103.1,3402.06,9.63,-5.75,2025-09-19,153.0,77.69,128.29,21.34,65.56,171.0,167.74,9.63,25410.2,25327.05,25431.4,25286.3,25209.0,25169.5,25261.9,25084.65
IVALUE INFOSOLUTIONS,EQ,IVALUE,2025-09-18,2025-09-22,299,284,15,2025-09-25,560.29,1600.84,1509.02,-5.74,1.14,2025-09-18,299.0,1.98,1.18,1.22,1.59,284.95,281.85,-5.74,25441.05,25423.6,25448.55,25329.75,25238.1,25202.35,25331.7,25151.05
EURO PRATIK SALES,EQ,EUROPRATIK,2025-09-16,2025-09-18,247,235,12,2025-09-23,451.31,2524.34,2538.44,0.56,21.43,2025-09-16,247.0,1.13,1.95,1.23,1.29,272.1,248.38,0.56,25073.6,25239.1,25261.4,25070.45,25441.05,25423.6,25448.55,25329.75
URBAN COMPANY,EQ,URBANCO,2025-09-10,2025-09-12,103,98,5,2025-09-17,1900.24,14789.79,23955.15,61.97,-22.77,2025-09-10,103.0,59.44,77.52,40.1,60.14,162.25,166.83,61.97,24991.0,24973.1,25035.7,24915.05,25074.45,25114.0,25139.45,25038.05
SHRINGAR HOUSE OF MANGALSUTRA,EQ,SHRINGARMS,2025-09-10,2025-09-12,165,155,10,2025-09-17,400.95,1591.13,1782.84,12.05,6.34,2025-09-10,165.0,41.17,82.36,26.66,42.24,188.5,184.88,12.05,24991.0,24973.1,25035.7,24915.05,25074.45,25114.0,25139.45,25038.05
VIKRAN ENGINEERING,EQ,VIKRAN,2025-08-26,2025-08-29,97,92,5,2025-09-03,772.0,2501.74,2468.47,-1.33,-2.81,2025-08-26,97.0,8.67,61.68,11.27,17.53,99.0,95.71,-1.33,24899.5,24712.05,24919.65,24689.6,24466.7,24426.85,24572.45,24404.7
MANGAL ELECTRICAL INDUSTRIES,EQ,MEIL,2025-08-20,2025-08-22,561,533,28,2025-08-28,400.0,1550.05,1479.18,-4.57,-30.85,2025-08-20,561.0,5.13,19.7,4.99,7.27,556.0,535.35,-4.57,24965.8,25050.55,25088.7,24929.7,25064.15,24870.1,25084.85,24859.15
VIKRAM SOLAR,EQ,VIKRAMSOLR,2025-08-19,2025-08-21,332,315,17,2025-08-26,2079.37,12009.01,12891.59,7.35,-31.8,2025-08-19,332.0,58.56,52.8,7.77,39.73,338.0,356.4,7.35,24891.35,24980.65,25012.65,24873.95,25142.0,25083.75,25153.65,25054.9
SHREEJI SHIPPING GLOBAL,EQ,SHREEJISPG,2025-08-19,2025-08-21,252,240,12,2025-08-26,410.71,4105.54,4156.04,1.23,30.16,2025-08-19,252.0,44.82,72.62,21.57,40.85,270.0,255.1,1.23,24891.35,24980.65,25012.65,24873.95,25142.0,25083.75,25153.65,25054.9
GEM AROMATICS,EQ,GEMAROMA,2025-08-19,2025-08-21,325,309,16,2025-08-26,451.25,1697.71,1666.63,-1.83,-55.7,2025-08-19,325.0,22.14,45.9,10.29,21.55,333.1,319.05,-1.83,24891.35,24980.65,25012.65,24873.95,25142.0,25083.75,25153.65,25054.9
REGAAL RESOURCES,EQ,REGAAL,2025-08-12,2025-08-14,102,96,6,2025-08-20,306.0,1047.78,1351.64,29.0,-45.08,2025-08-12,102.0,41.34,355.25,55.61,93.42,141.0,131.58,29.0,24563.35,24487.4,24702.6,24465.65,24607.25,24631.3,24673.65,24596.9
BLUESTONE JEWELLERY AND LIFESTYLE,EQ,BLUESTONE,2025-08-11,2025-08-13,517,492,25,2025-08-19,1540.65,7823.26,8262.09,5.61,-3.4,2025-08-11,517.0,2.3,0.56,1.32,1.94,510.0,546.0,5.61,24371.5,24585.05,24600.85,24347.45,24586.2,24619.35,24664.55,24535.25
ALL TIME PLASTICS,EQ,ALLTIME,2025-08-07,2025-08-11,275,260,15,2025-08-14,400.6,1801.46,1855.84,3.02,-5.59,2025-08-07,275.0,4.76,13.9,5.23,6.28,311.3,283.3,3.02,24464.2,24596.15,24634.2,24344.15,24371.5,24585.05,24600.85,24347.45
JSW CEMENT,EQ,JSWCEMENT,2025-08-07,2025-08-11,147,139,8,2025-08-14,3600.0,20041.46,19914.67,-0.63,-17.0,2025-08-07,147.0,7.3,11.56,1.84,6.03,153.5,146.07,-0.63,24464.2,24596.15,24634.2,24344.15,24371.5,24585.05,24600.85,24347.45
SRI LOTUS DEVELOPERS AND REALTY,EQ,LOTUSDEV,2025-07-30,2025-08-01,150,140,10,2025-08-06,792.0,7330.86,9562.86,30.45,-19.98,2025-07-30,150.0,70.76,61.53,21.13,51.87,178.0,195.67,30.45,24890.4,24855.05,24902.3,24771.95,24734.9,24565.35,24784.15,24535.05
M&B ENGINEERING,EQ,MBEL,2025-07-30,2025-08-01,385,366,19,2025-08-06,650.0,2200.21,2335.36,6.14,-7.5,2025-07-30,385.0,15.98,40.18,33.54,21.3,385.0,408.65,6.14,24890.4,24855.05,24902.3,24771.95,24734.9,24565.35,24784.15,24535.05
LAXMI INDIA FINANCE,EQ,LAXMIINDIA,2025-07-29,2025-07-31,158,150,8,2025-08-05,254.26,825.83,700.96,-15.12,-1.83,2025-07-29,158.0,1.47,1.82,2.17,1.76,137.52,134.11,-15.12,24609.65,24821.1,24847.15,24598.6,24642.25,24768.35,24956.5,24635.0
ADITYA INFOTECH,EQ,CPPLUS,2025-07-29,2025-07-31,675,640,35,2025-08-05,1300.0,7912.48,12691.03,60.39,43.62,2025-07-29,675.0,56.7,75.52,52.56,58.82,1015.0,1082.65,60.39,24609.65,24821.1,24847.15,24598.6,24642.25,24768.35,24956.5,24635.0
SHANTI GOLD INTERNATIONAL,EQ,SHANTIGOLD,2025-07-25,2025-07-29,199,189,10,2025-08-01,360.11,1434.71,1653.74,15.27,-15.46,2025-07-25,199.0,47.35,151.49,30.42,57.04,227.55,229.38,15.27,25010.35,24837.0,25010.35,24806.35,24609.65,24821.1,24847.15,24598.6
BRIGADE HOTEL VENTURES,EQ,BRIGHOTEL,2025-07-24,2025-07-28,90,85,5,2025-07-31,759.6,3418.58,3240.82,-5.2,-14.37,2025-07-24,90.0,2.9,10.1,6.59,4.26,81.1,85.32,-5.2,25243.3,25062.1,25246.25,25018.7,24782.45,24680.9,24889.2,24646.6
GNG ELECTRONICS,EQ,EBGNG,2025-07-23,2025-07-25,237,225,12,2025-07-30,460.43,2702.07,3801.03,40.67,-16.3,2025-07-23,237.0,110.35,237.44,48.2,107.66,355.0,333.39,40.67,25139.35,25219.9,25233.5,25085.5,25010.35,24837.0,25010.35,24806.35
INDIQUBE SPACES,EQ,INDIQUBE,2025-07-23,2025-07-25,237,225,12,2025-07-30,700.0,4977.27,4577.62,-8.03,-11.02,2025-07-23,237.0,6.68,8.62,13.41,7.63,216.0,217.97,-8.03,25139.35,25219.9,25233.5,25085.5,25010.35,24837.0,25010.35,24806.35
ANTHEM BIOSCIENCES,EQ,ANTHEM,2025-07-14,2025-07-16,570,540,30,2025-07-21,3395.0,32011.77,41017.19,28.13,-4.23,2025-07-14,570.0,77.87,43.67,5.74,47.37,723.05,730.35,28.13,25149.5,25082.3,25151.1,25001.95,25196.6,25212.05,25255.3,25121.05
SMARTWORKS COWORKING SPACES,EQ,SMARTWORKS,2025-07-10,2025-07-14,407,387,20,2025-07-17,582.56,4645.14,5079.41,9.35,6.13,2025-07-10,407.0,10.59,23.63,3.59,10.03,435.0,445.05,9.35,25511.65,25355.25,25524.05,25340.45,25149.5,25082.3,25151.1,25001.95
TRAVEL FOOD SERVICES,EQ,TRAVELFOOD,2025-07-07,2025-07-09,1100,1045,55,2025-07-14,2000.0,14484.74,14152.91,-2.29,19.69,2025-07-07,1100.0,3.83,1.62,0.69,2.4,1125.0,1074.8,-2.29,25450.45,25461.3,25489.8,25407.25,25514.6,25476.1,25548.7,25424.35
CRIZAC LIMITED,EQ,CRIZAC,2025-07-02,2025-07-04,245,233,12,2025-07-09,860.0,4287.07,5382.99,25.56,-8.45,2025-07-02,245.0,57.16,79.49,10.54,44.19,281.05,307.63,25.56,25588.3,25453.4,25608.1,25378.75,25428.85,25461.0,25470.25,25331.65
HDB FINANCIAL SERVICES,EQ,HDBFS,2025-06-25,2025-06-27,740,700,40,2025-07-02,12500.0,61253.3,69609.41,13.64,-8.94,2025-06-25,740.0,24.05,10.24,1.43,13.07,835.0,840.95,13.64,25150.35,25244.75,25266.8,25125.05,25576.65,25637.8,25654.2,25523.55
SAMBHV STEEL TUBES,EQ,SAMBHV,2025-06-25,2025-06-27,82,77,5,2025-07-02,540.0,2416.31,2875.7,19.01,-2.52,2025-06-25,82.0,27.26,33.62,8.35,21.49,110.0,97.59,19.01,25150.35,25244.75,25266.8,25125.05,25576.65,25637.8,25654.2,25523.55
ELLENBARRIE INDUSTRIAL GASES,EQ,ELLEN,2025-06-24,2025-06-26,400,380,20,2025-07-01,852.53,5637.42,7534.42,33.65,-34.11,2025-06-24,400.0,25.92,15.54,2.14,16.04,486.0,534.6,33.65,25179.9,25044.35,25317.7,24999.7,25268.95,25549.0,25565.3,25259.9
KALPATARU,EQ,KALPATARU,2025-06-24,2025-06-26,414,387,27,2025-07-01,1590.0,8524.84,8915.05,4.58,-19.21,2025-06-24,414.0,1.93,1.39,1.35,1.78,414.0,432.95,4.58,25179.9,25044.35,25317.7,24999.7,25268.95,25549.0,25565.3,25259.9
ARISINFRA SOLUTIONS,EQ,ARISINFRA,2025-06-18,2025-06-20,222,210,12,2025-06-25,499.6,1799.28,1413.32,-21.45,-28.0,2025-06-18,222.0,1.2,3.07,5.98,1.96,205.0,174.38,-21.45,24788.35,24812.05,24947.55,24750.45,24787.65,25112.4,25136.2,24783.65
OSWAL PUMPS,EQ,OSWALPUMPS,2025-06-13,2025-06-17,614,584,30,2025-06-20,1387.34,6998.21,7127.58,1.85,-15.33,2025-06-13,614.0,35.89,38.19,3.59,24.93,634.0,625.35,1.85,24473.0,24718.6,24754.35,24473.0,24977.85,24853.4,24982.05,24813.7
SCHLOSS BANGALORE,EQ,THELEELA,2025-05-26,2025-05-28,435,413,22,2025-06-02,3500.0,14527.17,14545.54,0.13,-8.7,2025-05-26,435.0,3.74,1.06,0.83,3.05,406.0,435.55,0.13,24919.35,25001.15,25079.2,24900.5,24832.5,24752.45,24864.25,24737.05
